Brand,Year,Collection,Variant,Card #,Player Name,Team,Card Details
Bowman,2024,Draft,Base,BD-1,Travis Bazzana,Cleveland Guardians,
Bowman,2024,Draft,Base,BD-2,Hagen Smith,Chicago White Sox,
Bowman,2024,Draft,Base,BD-3,Josh Hartle,Pittsburgh Pirates,
Bowman,2024,Draft,Base,BD-4,Thayron Liranzo,Detroit Tigers,
Bowman,2024,Draft,Base,BD-5,Luis Guanipa,Atlanta Braves,
Bowman,2024,Draft,Base,BD-6,Jaron DeBerry,Milwaukee Brewers,
Bowman,2024,Draft,Base,BD-7,Ethan Schiefelbein,Detroit Tigers,
Bowman,2024,Draft,Base,BD-8,Jac Caglianone,Kansas City Royals,
Bowman,2024,Draft,Base,BD-9,Cole Messina,Colorado Rockies,
Bowman,2024,Draft,Base,BD-10,Gage Ziehl,New York Yankees,
Bowman,2024,Draft,Base,BD-11,Jared Thomas,Colorado Rockies,
Bowman,2024,Draft,Base,BD-12,Carter Johnson,Miami Marlins,
Bowman,2024,Draft,Base,BD-13,Christian Moore,Los Angeles Angels,
Bowman,2024,Draft,Base,BD-14,Nick McLain,Chicago White Sox,
Bowman,2024,Draft,Base,BD-15,Colt Emerson,Seattle Mariners,
Bowman,2024,Draft,Base,BD-16,Dante Nori,Philadelphia Phillies,
Bowman,2024,Draft,Base,BD-17,Woody Hadeen,Detroit Tigers,
Bowman,2024,Draft,Base,BD-18,Ryan Waldschmidt,Arizona Diamondbacks,
Bowman,2024,Draft,Base,BD-19,Roman Anthony,Boston Red Sox,
Bowman,2024,Draft,Base,BD-20,Cam Caminiti,Atlanta Braves,
Bowman,2024,Draft,Base,BD-21,Griff O'Ferrall,Baltimore Orioles,
Bowman,2024,Draft,Base,BD-22,Konnor Griffin,Pittsburgh Pirates,
Bowman,2024,Draft,Base,BD-23,Rhett Lowder,Cincinnati Reds,
Bowman,2024,Draft,Base,BD-24,Kellon Lindsey,Los Angeles Dodgers,
Bowman,2024,Draft,Base,BD-25,Harry Ford,Seattle Mariners,
Bowman,2024,Draft,Base,BD-26,Matt Shaw,Chicago Cubs,
Bowman,2024,Draft,Base,BD-27,Blake Wright,Colorado Rockies,
Bowman,2024,Draft,Base,BD-28,Carson Benge,New York Mets,
Bowman,2024,Draft,Base,BD-29,Ivan Luciano,Arizona Diamondbacks,
Bowman,2024,Draft,Base,BD-30,Jacob Cozart,Cleveland Guardians,
Bowman,2024,Draft,Base,BD-31,Caleb Bonemer,Chicago White Sox,
Bowman,2024,Draft,Base,BD-32,Mike Sirota,Cincinnati Reds,
Bowman,2024,Draft,Base,BD-33,Casey Saucke,Chicago White Sox,
Bowman,2024,Draft,Base,BD-34,Boston Bateman,San Diego Padres,
Bowman,2024,Draft,Base,BD-35,JD Dix,Arizona Diamondbacks,
Bowman,2024,Draft,Base,BD-36,Johnny King,Toronto Blue Jays,
Bowman,2024,Draft,Base,BD-37,Braylon Doughty,Cleveland Guardians,
Bowman,2024,Draft,Base,BD-38,Noble Meyer,Miami Marlins,
Bowman,2024,Draft,Base,BD-39,Brody Brecht,Colorado Rockies,
Bowman,2024,Draft,Base,BD-40,James Tibbs III,San Francisco Giants,
