ID	Sport	Player First Name	Player Last Name	Brand	Collection	Card Number	Year	Variant	Serial Number	Condition	Estimated Value	Rookie Card	Autographed	Numbered	Notes	Front Image URL	Back Image URL	Last Updated
20	Baseball	Sal	Frelick	Topps	35th Anniversary	89B-9	2024			PSA 8	$5.99	Yes	No	No		/uploads/front_8129dc81-f4b9-437c-ba5d-f44394e712a3.jpg	/uploads/back_e28fcc8f-d43d-447d-94f5-0b90f27b6c0e.jpg	2025-04-26T17:23:55.213Z
22	Baseball	Sean	Manaea	Topps	Series Two	380	2024	Aqua Foil	010/399	PSA 8	$2.58	No	No	No		/uploads/front_8f406497-ba8d-4277-94a2-c2f0d6a07d03.jpg	/uploads/back_ccf6c8b3-7ab8-4fa5-b545-06e08876abf9.jpg	2025-04-26T18:07:44.214Z
23	Baseball	Alex	Bregman	Topps	35th Anniversary	89B-32	2024			PSA 8	$0.99	No	No	No		/uploads/front_13f82788-ebc8-427f-8a07-2c9b300c775d.jpg	/uploads/back_e0163a54-9032-43ec-88fd-cf673a632c30.jpg	2025-04-26T18:28:56.601Z
24	Baseball	Gerrit	Cole	Topps	Heritage	249	2021			PSA 8	$1.69	No	No	No		/uploads/front_49f545ba-a01a-4a4e-888f-e112da960ec5.jpg	/uploads/back_c677a2df-4d66-4397-b808-12c7e6213985.jpg	2025-04-26T21:36:37.446Z
25	Baseball	Freddie	Freeman	Topps	Stars of MLB	SMLB-27	2023			PSA 8	$1.75	No	No	No		/uploads/front_30a3619b-69a3-49a0-aba8-94ee4d9bf74a.jpg	/uploads/back_ac0c7b2f-722b-400b-bc69-2879ecb9c8ff.jpg	2025-04-27T14:04:11.549Z
26	Baseball	Carlos	Correa	Topps	Stars of MLB	SMLB-49	2024			PSA 8	$1.49	No	No	No		/uploads/front_d0f137cb-27e5-42f6-b70f-a53e59fa47e9.jpg	/uploads/back_e52dbdbf-d207-4da8-8e13-0321da15c516.jpg	2025-04-27T14:44:55.842Z
27	Baseball	Mike	Trout	Topps	Stars of MLB	CSMLB-2	2024	Chrome		PSA 8	$1.89	No	No	No		/uploads/1745782254517_Trout_front.jpg	/uploads/1745782254523_Trout_back.jpg	2025-04-27T19:30:55.008Z
28	Baseball	Manny	Machado	Topps	Stars of MLB	CSMLB-44	2024	Chrome		PSA 8	$1.25	No	No	No		/uploads/1745785721118_Machado_front.jpg	/uploads/1745785721128_Machado_back.jpg	2025-04-27T20:28:42.188Z
29	Baseball	Anthony	Volpe	Topps	Stars of MLB	SMLB-76	2024			PSA 8	$0.99	No	No	No		/uploads/1745790593490_Volpe_front.jpg	/uploads/1745790593497_Volpe_back.jpg	2025-04-27T21:49:54.241Z
30	Baseball	Nolan	Schanuel	Topps	Stars of MLB	SMLB-73	2024			PSA 8	$0.99	Yes	No	No		/uploads/1745791833108_Schanuel_front.jpg	/uploads/1745791833113_Schanuel_back.jpg	2025-04-27T22:10:33.788Z
